*         312.626633    0      1     43        10    5        3.060146D-02
*         312.626633    0      1     43         1    6        6.964189D-02
*         312.626633    0      1     43         2    6        2.583921D-01
*         312.626633    0      1     43         3    6        8.307591D-01
*         312.626633    0      1     43         4    6        9.188806D-01
*         312.626633    0      1     43         5    6        2.413683D+00
*         312.626633    0      1     43         7    6        1.800211D+00
*         312.626633    0      1     43         8    6        3.173530D-02
*         312.626633    0      1     43         9    6        1.348063D-01
*         312.626633    0      1     43        10    6        2.077944D-01
*         312.626633    0      1     43         1    7        1.754275D-01
*         312.626633    0      1     43         2    7        4.373181D-02
*         312.626633    0      1     43         3    7        9.103089D-01
*         312.626633    0      1     43         4    7        8.870086D-01
*         312.626633    0      1     43         5    7        1.374707D-01
*         312.626633    0      1     43         6    7        2.502838D+00
*         312.626633    0      1     43         8    7        6.382788D-01
*         312.626633    0      1     43         9    7        3.528969D-01
*         312.626633    0      1     43        10    7        1.210973D-01
*         312.626633    0      1     43         1    8        1.431959D-03
*         312.626633    0      1     43         2    8        6.087177D-02
*         312.626633    0      1     43         3    8        6.426901D-02
*         312.626633    0      1     43         4    8        1.351767D+00
*         312.626633    0      1     43         5    8        1.132328D-01
*         312.626633    0      1     43         6    8        1.758547D-01
*         312.626633    0      1     43         7    8        2.543974D+00
*         312.626633    0      1     43         9    8        1.495091D-01
*         312.626633    0      1     43        10    8        2.413552D-01
*         312.626633    0      1     43         1    9        3.369688D-01
*         312.626633    0      1     43         2    9        2.549024D-01
*         312.626633    0      1     43         3    9        1.304736D-01
*         312.626633    0      1     43         4    9        3.807082D-01
*         312.626633    0      1     43         5    9        2.847240D+00
*         312.626633    0      1     43         6    9        1.663455D-01
*         312.626633    0      1     43         7    9        3.132127D-01
*         312.626633    0      1     43         8    9        3.329331D-02
*         312.626633    0      1     43        10    9        2.972985D-01
*         312.626633    0      1     43         1   10        3.213923D-02
*         312.626633    0      1     43         2   10        8.060668D-02
*         312.626633    0      1     43         3   10        3.099732D-02
*         312.626633    0      1     43         4   10        3.868371D-02
*         312.626633    0      1     43         5   10        3.572685D-01
*         312.626633    0      1     43         6   10        1.919255D+00
*         312.626633    0      1     43         7   10        8.044965D-01
*         312.626633    0      1     43         8   10        4.022947D-01
*         312.626633    0      1     43         9   10        2.225312D+00
