            4821       71 -0.120299308696E-06
            4821       72 -0.113156692507E-06
            4821       73 -0.106517128247E-06
            4821       74 -0.100339755117E-06
            4821       75 -0.945874621832E-07
            4821       76 -0.892265056035E-07
            4821       77 -0.842261687846E-07
            4821       78 -0.795584602266E-07
            4821       79 -0.751978445103E-07
            4821       80 -0.711210024722E-07
            4821       81 -0.673066171211E-07
            4821       82 -0.637351822870E-07
            4821       83 -0.603888313797E-07
            4821       84 -0.572511839504E-07
            4821       85 -0.543072080463E-07
            4821       86 -0.515430965865E-07
            4821       87 -0.489461562028E-07
            4821       88 -0.465047071787E-07
            4821       89 -0.442079932780E-07
            4821       90 -0.420461004004E-07
            4821       91 -0.400098831202E-07
            4821       92 -0.380908982775E-07
            4821       93 -0.362813448844E-07
            4821       94 -0.345740096910E-07
            4821       95 -0.329622178299E-07
            4821       96 -0.314397880245E-07
            4821       97 -0.300009918998E-07
            4821       98 -0.286405169859E-07
            4821       99 -0.273534330504E-07
            4821      100 -0.261351614313E-07
            4821      101 -0.249814470798E-07
            4822        1  0.792955259823E-02
            4822        2  0.492622108774E-02
            4822        3  0.278632878474E-02
            4822        4  0.158041362049E-02
            4822        5  0.887878839133E-03
            4822        6  0.488131521145E-03
            4822        7  0.258158722897E-03
            4822        8  0.127470654106E-03
            4822        9  0.552474283024E-04
            4822       10  0.171949680265E-04
            4822       11 -0.144614563589E-05
            4822       12 -0.943053571391E-05
            4822       13 -0.118120351602E-04
            4822       14 -0.114916759563E-04
            4822       15 -0.100710477959E-04
            4822       16 -0.829585954963E-05
            4822       17 -0.662392727266E-05
            4822       18 -0.518418066777E-05
            4822       19 -0.401608454581E-05
            4822       20 -0.309249993081E-05
            4822       21 -0.237817225622E-05
            4822       22 -0.183533400246E-05
            4822       23 -0.142609864836E-05
            4822       24 -0.111426899620E-05
            4822       25 -0.877063932621E-06
            4822       26 -0.698100102599E-06
            4822       27 -0.561034387451E-06
            4822       28 -0.452066672974E-06
            4822       29 -0.365551748770E-06
            4822       30 -0.297475740198E-06
            4822       31 -0.243842051332E-06
            4822       32 -0.201674933174E-06
            4822       33 -0.168776019398E-06
            4822       34 -0.141828668391E-06
            4822       35 -0.119687519635E-06
            4822       36 -0.101498823980E-06
            4822       37 -0.865974602437E-07
            4822       38 -0.742421249418E-07
